Date,Impressions,Click-Throughs
8/23/17 0:00,778,26
8/24/17 0:00,795,15
8/25/17 0:00,767,18
8/26/17 0:00,510,14
8/27/17 0:00,411,13
8/28/17 0:00,774,12
8/29/17 0:00,781,16
8/30/17 0:00,807,18
8/31/17 0:00,748,17
9/1/17 0:00,575,8
9/2/17 0:00,561,12
9/3/17 0:00,526,14
9/4/17 0:00,597,12
9/5/17 0:00,1006,14
9/6/17 0:00,923,18
9/7/17 0:00,869,24
9/8/17 0:00,802,14
9/9/17 0:00,577,7
9/10/17 0:00,571,20
9/11/17 0:00,985,20
9/12/17 0:00,935,19
9/13/17 0:00,1002,23
9/14/17 0:00,990,18
9/15/17 0:00,1020,16
9/16/17 0:00,531,16
9/17/17 0:00,615,18
9/18/17 0:00,938,19
9/19/17 0:00,1048,25
9/20/17 0:00,1033,24
9/21/17 0:00,885,17
9/22/17 0:00,751,15
9/23/17 0:00,602,14
9/24/17 0:00,580,19
9/25/17 0:00,985,25
9/26/17 0:00,914,31
9/27/17 0:00,920,20
9/28/17 0:00,1008,15
9/29/17 0:00,782,15
9/30/17 0:00,43,0
10/1/17 0:00,606,12
10/2/17 0:00,906,22
10/3/17 0:00,915,18
10/4/17 0:00,963,16
10/5/17 0:00,944,25
10/6/17 0:00,896,16
10/7/17 0:00,609,13
10/8/17 0:00,598,10
10/9/17 0:00,987,18
10/10/17 0:00,1016,17
10/11/17 0:00,929,14
10/12/17 0:00,1028,14
10/13/17 0:00,902,23
10/14/17 0:00,600,10
10/15/17 0:00,630,15
10/16/17 0:00,1007,18
10/17/17 0:00,984,23
10/18/17 0:00,1003,15
10/19/17 0:00,906,13
10/20/17 0:00,834,13
10/21/17 0:00,577,23
10/22/17 0:00,629,16
10/23/17 0:00,974,24
10/24/17 0:00,1009,13
10/25/17 0:00,965,17
10/26/17 0:00,865,23
10/27/17 0:00,811,22
10/28/17 0:00,545,11
10/29/17 0:00,591,17
10/30/17 0:00,875,32
10/31/17 0:00,870,18
11/1/17 0:00,924,18
11/2/17 0:00,942,21
11/3/17 0:00,896,16
11/4/17 0:00,639,20
11/5/17 0:00,689,19
11/6/17 0:00,987,21
11/7/17 0:00,923,23
11/8/17 0:00,981,26
11/9/17 0:00,808,11
11/10/17 0:00,763,16
11/11/17 0:00,608,10
11/12/17 0:00,528,11
11/13/17 0:00,958,15
11/14/17 0:00,836,14
11/15/17 0:00,964,19
11/16/17 0:00,899,22
11/17/17 0:00,745,24
11/18/17 0:00,608,13
11/19/17 0:00,577,22
11/20/17 0:00,1009,21
11/21/17 0:00,886,33
11/22/17 0:00,887,13
11/23/17 0:00,623,22
11/24/17 0:00,760,23
11/25/17 0:00,685,13
11/26/17 0:00,777,17
11/27/17 0:00,1266,34
11/28/17 0:00,1026,27
11/29/17 0:00,1019,13
11/30/17 0:00,1013,31
12/1/17 0:00,881,30
12/2/17 0:00,606,29
12/3/17 0:00,644,28
12/4/17 0:00,1034,27
12/5/17 0:00,1051,26
12/6/17 0:00,1015,25
12/7/17 0:00,967,21
12/8/17 0:00,779,15
12/9/17 0:00,659,16
12/10/17 0:00,643,19
12/11/17 0:00,873,17
12/12/17 0:00,802,19
12/13/17 0:00,959,16
12/14/17 0:00,853,20
12/15/17 0:00,797,17
12/16/17 0:00,609,5
12/17/17 0:00,656,16
12/18/17 0:00,968,19
12/19/17 0:00,832,24
12/20/17 0:00,892,12
12/21/17 0:00,801,15
12/22/17 0:00,584,11
12/23/17 0:00,470,13
12/24/17 0:00,328,5
12/25/17 0:00,352,8
12/26/17 0:00,680,7
12/27/17 0:00,916,18
12/28/17 0:00,893,22
12/29/17 0:00,727,13
12/30/17 0:00,535,11
12/31/17 0:00,401,19
